rank,sku,pid,commentId,commentDate,score,countryCode,user,comment,imageUrls
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720144,2021-05-18T16:54:45+08:00,5,RU,A***k,"Хороший коврик, надеюсь кошка оценит. поверхность слегка шипованная и сам коврик не такой уж и тонкий! Но в целом надеюсь что очень полезная вещь  ",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/ad56bd2c-0a62-4c37-97d0-0349e1377558.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/e8f829b3-a309-4148-8164-4dfce018971b.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/276389d3-7bae-4d83-9ee5-f188c168f046.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720145,2021-05-05T16:04:45+08:00,5,KZ,S***b,"The mat is made of dense material, fastened with Velcro on two sides. Holes are large 3 &times; 5mm. The color is nice. I hope the cat likes it.",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/726eb0b7-3a0b-4b0c-bf00-e8b89e0cb9ee.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720146,2021-04-28T15:45:45+08:00,5,RU,0***r,"I am happy with the packing and delivery to the house. The mat was bent and now snugly against the floor. Until I realized whether the purchase is convenient, only in use you can see the impact of the idea",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/add6dd13-f58f-4641-bd6e-e9c9f921e6ae.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720147,2021-04-19T02:50:45+08:00,5,RO,K***k,Thank you! Fully corresponds to the description.,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720148,2021-04-11T22:42:45+08:00,5,IT,G***i,Super fast and product functional,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720149,2021-04-10T14:50:45+08:00,5,RU,R***k,Excellent goods,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/a21715d1-e841-4734-987c-aa9e28e3cc30.jpg
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720150,2021-04-09T20:32:45+08:00,5,IE,A***l,"This is very good, but very expensive for what you get. Very good though!!!",
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720151,2021-03-10T23:06:45+08:00,5,RU,S***k,"Добротный коврик, но если у вас большой лоток и при этом он стоит на части ковра, то он (ковёр) не справляется с наполнителем на 100%. Его нужно класть рядом с лотком. Этого я не учитывал перед покупкой.",
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720152,2021-02-26T17:20:45+08:00,5,FI,P***i, Excellent quality. Thank you!,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720153,2021-02-24T23:41:45+08:00,5,IT,N***u,"Fast shipment, only 19 days!!
It works! Retains all residue litter",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/5012a255-6140-46f5-b33f-0075db8f89f1.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/c5b7b965-afc8-4207-bd84-a991d68855bf.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/e9e333db-17b0-46fd-9e91-dc4049bd83fb.jpg
